PCSA00001,ModNation Racers: Road Trip
PCSA00153,Murasaki Baby
PCSA00155,Oreshika Tainted Bloodlines
PCSA00156,Fat Princess: Piece of Cake
PCSA00158,The Unfinished Swan
PCSA00490,Run Sackboy! Run!
PCSA00511,MLB15 THE SHOW
PCSA00531,Live from PlayStation
PCSA00552,Invizimals: The Resistance
PCSA00563,The Hungry Horde
PCSA00685,The Muppets Movie Adventures
PCSA00798,Phineas and Ferb: Day of Doofenshmirtz
PCSE00001,Ridge Racer
PCSE00002,F1 2011
PCSE00003,Virtual Tennis 4 World Tour Edition
PCSE00004,Ultimate Marvel vs. Capcom 3
PCSE00005,Street Fighter X Tekken
PCSE00006,Army Corps of Hell
PCSE00007,Asphalt: Injection
PCSE00008,Dungeon Hunter Alliance
PCSE00009,Lumines Electronic Symphony
PCSE00010,Michael Jackson The Experience HD
PCSE00011,Silent Hill Book of Memories
PCSE00012,Supremacy MMA Unrestricted
PCSE00014,DYNASTY WARRIORS NEXT
PCSE00015,Shinobido 2: Revenge of Zen
PCSE00016,Touch my Katamari
PCSE00017,Super Monkey Ball Banana Splitz
PCSE00018,BLAZBLUE Continuum Shift Extend
PCSE00019,Dragon's Crown
PCSE00020,Metal Gear Solid HD Collection
PCSE00021,Ninja Gaiden Sigma Plus
PCSE00022,Disgaea 3 Absence of Detention
PCSE00023,Mortal Kombat
PCSE00024,Ben 10: Galactic Racing
PCSE00027,Treasures of Montezuma Blitz
PCSE00029,StarDrone Extreme
PCSE00033,Guacamelee!
PCSE00034,Tales from Space: Mutant Blobs Attack!!
PCSE00036,Wanted Corp (3.61+!) [3.61]
PCSE00038,Velocity Ultra
PCSE00039,FoosBall 2012
PCSE00041,Indoor Sports World
PCSE00042,Puddle
PCSE00043,Oddworld: Stranger's Wrath HD
PCSE00044,Chronovolt
PCSE00047,SunFlowers
PCSE00049,CastleStorm
PCSE00050,ZEN Pinball 2
PCSE00051,Urban Trial Freestyle
PCSE00052,Rayman Origins
PCSE00053,Assassin's Creed III: Liberation
PCSE00056,SONIC & ALL-STARS RACING TRANSFORMED
PCSE00057,LEGO Harry Potter: Years 5-7
PCSE00061,LEGO Batman 2 - DC Super Heroes
PCSE00062,Sumioni: Demon Arts
PCSE00064,Plants vs Zombies
PCSE00065,The Pinball Arcade
PCSE00066,New Little King's Story
PCSE00067,LEGO The Lord of The Rings
PCSE00068,Spy Hunter
PCSE00070,Netflix
PCSE00074,NicoNico
PCSE00075,Retro City Rampage
PCSE00078,Metal Gear Solid 2: Sons of Liberty - HD Edition
PCSE00079,Metal Gear Solid 3: Snake Eater - HD Edition
PCSE00084,Madden 13
PCSE00085,Zero Escape: Virtue's Last Reward
PCSE00086,Pure Chess
PCSE00087,LEGO Batman 2: DC Super Heroes - French
PCSE00088,Jet Set Radio
PCSE00089,Need for Speed: Most Wanted
PCSE00090,Sine Mora
PCSE00091,Big Sky: Infinity
PCSE00092,Knytt Underground
PCSE00095,Escape Vector
PCSE00097,Call of Duty Black Ops: Declassified
PCSE00101,Puzzle by Nikoli V Sudoku
PCSE00102,Zombie Tycoon 2: Brainhov's Revenge
PCSE00103,Doctor Who: The Eternity Clock
PCSE00108,Puzzle by Nikoli V Slitherlink
PCSE00111,Furmins
PCSE00112,Rocketbirds: Hardboiled Chicken
PCSE00113,KickBeat
PCSE00116,Orgarythm
PCSE00117,Burn the Rope
PCSE00119,Ragnarok Odyssey
PCSE00120,Persona 4 Golden
PCSE00123,Colors!
PCSE00124,Dokuro
PCSE00133,Doodle God
PCSE00137,Guilty Gear XX Accent Core Plus R
PCSE00143,Quell Memento
PCSE00208,DJMax Technika Tune
PCSE00209,Earth Defense Force 2017 Portable
PCSE00210,Alien Breed
PCSE00212,Machinarium
PCSE00213,Jetpack Joyride
PCSE00216,Lets Fish! Hooked on
PCSE00217,Dragon Fantasy Book I
PCSE00219,MUD - FIM Motocross World Championship
PCSE00220,Nun Attack
PCSE00221,Star Wars™ Pinball PS Vita (DEMO - needs DLC to unlock full)
PCSE00222,CRACKLE
PCSE00224,Draw Slasher
PCSE00225,BreakQuest: Extra Evolution
PCSE00228,Germinator
PCSE00229,Fruit Ninja
PCSE00231,Atelier Totori Plus: The Adventurer of Arland
PCSE00232,A-men
PCSE00233,Ninja Gaiden Sigma 2 Plus
PCSE00235,Dead or Alive 5 Plus
PCSE00237,LEGO Legends of Chima Laval's Journey
PCSE00238,Superfrog HD
PCSE00240,Muramasa Rebirth
PCSE00242,WRC 3 FIA World Rally Championship
PCSE00244,Valhalla Knights 3
PCSE00245,Ys: Memories of Celceta
PCSE00247,LUFTRAUSERS
PCSE00248,Deathmatch Village
PCSE00249,Hotline Miami
PCSE00250,LEGO Marvel Super Heroes
PCSE00252,Men's Room Mayhem
PCSE00253,Dead or Alive 5 Plus & Dead or Alive Paradise
PCSE00254,HISTORY: Legends of War: Patton
PCSE00256,Kung Fu Rabbit
PCSE00257,Flying Hamster HD
PCSE00258,Thomas Was Alone
PCSE00259,The HD Adventures of Rotating Octopus Character
PCSE00260,Floating Cloud God Saves the Pilgrims in HD!
PCSE00261,Danganronpa: Trigger Happy Havoc
PCSE00263,FIFA 14
PCSE00266,Fieldrunners 2
PCSE00267,Coconut Dodge Revitalised
PCSE00268,LIMBO
PCSE00269,Batman: Arkham Origins Blackgate
PCSE00271,Injustice: Gods Among Us Ultimate Edition
PCSE00272,Shake Spears!
PCSE00273,Rainbow moon
PCSE00274,Atomic Ninjas
PCSE00275,OMG HD Zombies!
PCSE00277,Rayman Legends
PCSE00278,Aabs Animals
PCSE00279,BlazBlue: Chrono Phantasma
PCSE00280,Stealth Inc: A Clone in the Dark
PCSE00281,Divekick
PCSE00282,Ms. Germinator
PCSE00283,Final Fantasy X-2 HD Remaster
PCSE00284,Total Recoil
PCSE00286,Worms Revolution Extreme
PCSE00287,Mahjong Royal Towers
PCSE00288,Spelunky
PCSE00290,Stick it to the Man
PCSE00291,Crazy Market
PCSE00293,Final Fantasy X HD Remaster
PCSE00294,Angry Birds Star Wars
PCSE00295,Sparkle
PCSE00296,Atelier Meruru Plus: The Apprentice of Arland
PCSE00297,Flyhunter Origins
PCSE00299,Dragon Fantasy Book II
PCSE00300,Ragnarok Odyssey ACE
PCSE00301,Lone Survivor: The Director's Cut
PCSE00302,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
PCSE00303,Crunchyroll
PCSE00304,TuneIn
PCSE00305,Dragon Ball Z: Battle of Z
PCSE00307,PixelJunk Monsters: Ultimate HD
PCSE00310,Z-Run
PCSE00311,Proteus
PCSE00312,Tennis in the Face
PCSE00313,Die!Die!Die!
PCSE00314,Sorcery Saga: Curse of the Great Curry God
PCSE00315,King Oddball
PCSE00316,The Walking Dead: A Telltale Games Series - The Complete First Season
PCSE00317,Terraria
PCSE00319,Pure Chess Complete Bundle
PCSE00321,Fort Defense
PCSE00322,Angry Birds Trilogy
PCSE00323,Table Top Racing
PCSE00324,A-men 2
PCSE00325,Real Boxing
PCSE00326,Hatsune Miku: Project DIVA f
PCSE00327,Doodle Devil
PCSE00328,Blast 'Em Bunnies
PCSE00329,Gaiam TV: The Transformation Network
PCSE00331,Treasures of Montezuma: Arena
PCSE00332,Dustforce
PCSE00333,The Amazing Spider-Man
PCSE00339,Duke Nukem 3D: Megaton Edition
PCSE00340,Gunslugs
PCSE00341,OlliOlli
PCSE00346,XBLAZE Code Embryo
PCSE00348,Grand Theft Auto: iFruit
PCSE00349,1001 Spikes
PCSE00352,The Wolf Among Us - A Telltale Games Series
PCSE00353,The LEGO Movie - Videogame
PCSE00354,Starlight Inception
PCSE00358,Demon Gaze
PCSE00359,Mind 0
PCSE00360,Disgaea 4: A Promise Revisited
PCSE00362,Age of Zombies
PCSE00364,WeatherNation (3.61+!) [3.63]
PCSE00366,Eufloria HD
PCSE00369,Oddworld: Munch's Oddysee HD
PCSE00370,Surge Deluxe
PCSE00372,The Walking Dead: Season 2 - Ep. 1  All That Remains
PCSE00373,Monster Monpiece
PCSE00374,Velocity 2X
PCSE00376,Conception II: Children of the Seven Stars
PCSE00377,Best of Arcade Games (DEMO - needs DLC to unlock full)
PCSE00378,Best of Board Games (DEMO - needs DLC to unlock full)
PCSE00379,Fort Defense North Menace
PCSE00380,Mutant Mudds Deluxe
PCSE00381,Toukiden: The Age of Demons
PCSE00383,Borderlands 2
PCSE00384,LEGO Ninjago: Nindroids
PCSE00386,Backgammon Blitz
PCSE00387,The Swapper
PCSE00388,Titan Attacks!
PCSE00389,Putty Squad
PCSE00390,LEGO The Hobbit
PCSE00393,Jet Car Stunts
PCSE00394,Oddworld: New 'n' Tasty
PCSE00395,Ethan: Meteor Hunter
PCSE00396,Mahjong World Contest
PCSE00397,TxK
PCSE00398,Senran Kagura: Shinovi Versus
PCSE00399,Danganronpa 2: Goodbye Despair
PCSE00400,HYPERDIMENSION NEPTUNIA: PRODUCING PERFECTION
PCSE00401,Deception IV: Blood Ties
PCSE00402,Hotline Miami 2 Wrong Number
PCSE00404,FEZ
PCSE00405,DYNASTY WARRIORS 8 - Xtreme Legends Complete Edition
PCSE00406,Metrico
PCSE00409,MotoGP 13
PCSE00411,WRC 4 - FIA WORLD RALLY CHAMPIONSHIP
PCSE00413,Broken Sword 5 - the Serpent's Curse: Episode 1
PCSE00414,Ultratron
PCSE00416,Putty Squad
PCSE00418,NHL
PCSE00419,Farming Simulator 14
PCSE00420,MouseCraft
PCSE00421,Get Off My Lawn!
PCSE00422,Cel Damage HD
PCSE00423,One Piece: Unlimited World Red
PCSE00424,Day D Tower Rush
PCSE00426,Hulu Plus
PCSE00427,Arcana Heart 3: LOVEMAX!!!!!
PCSE00428,Akiba's Trip: Undead & Undressed
PCSE00429,Tales of Hearts R
PCSE00430,SteamWorld Dig
PCSE00431,Doodle Kingdom
PCSE00432,Tiny Troopers Joint Ops
PCSE00434,Hatsune Miku: Project DIVA f 2nd
PCSE00436,The Treasures of Montezuma 4
PCSE00439,Gravity Crash Ultra
PCSE00441,The Keeper of 4 Elements (3.61+!)
PCSE00442,LEGO Batman 3 - Beyond Gotham
PCSE00443,Hyperdimension Neptunia Re;Birth1
PCSE00444,Battalion Commander (3.61+!)
PCSE00445,Alien Shooter
PCSE00446,Run Like Hell!
PCSE00447,Dragon Fin Soup
PCSE00448,WARRIORS OROCHI 3 Ultimate
PCSE00449,Rogue Legacy
PCSE00450,Don't Starve: Giant Edition
PCSE00451,PixelJunk Shooter Ultimate
PCSE00453,Crimsonland
PCSE00454,Sparkle 2
PCSE00455,Mahjong Gold
PCSE00457,Magical Beat
PCSE00458,PHANTOM BREAKER: BATTLE GROUNDS
PCSE00459,My Singing Monsters
PCSE00460,NAtURAL DOCtRINE
PCSE00461,RACE THE SUN
PCSE00463,Söldner-X 2: Final Prototype
PCSE00465,Sword Art Online -Hollow Fragment-
PCSE00466,Atelier Rorona Plus: The Alchemist of Arland
PCSE00467,Toukiden: Kiwami
PCSE00468,Citizens of Earth
PCSE00471,Senran Kagura Bon Appetit!
PCSE00472,Another World: 20th Anniversary Edition
PCSE00473,Kilka Card Gods
PCSE00477,Joe Danger 2: The Movie
PCSE00478,Joe Danger
PCSE00479,OlliOlli2: Welcome to Olliwood
PCSE00480,Child of Light
PCSE00482,FIFA 15
PCSE00484,Foul Play
PCSE00485,Kick & Fennick
PCSE00486,Project Root
PCSE00487,Gravity Badgers
PCSE00488,SENRAN KAGURA Bon Appetit! Stacked Soundtrack
PCSE00489,Panda Run
PCSE00491,Minecraft: PlayStation Vita Edition
PCSE00492,VVVVVV
PCSE00493,Switch Galaxy Ultra
PCSE00495,Futuridium EP Deluxe
PCSE00501,A Virus Named TOM
PCSE00503,SAMURAI WARRIORS 4
PCSE00504,Final Horizon
PCSE00505,Rugby 15
PCSE00506,Vitamin Z
PCSE00507,The Binding of Isaac: Rebirth
PCSE00508,Hyperdimension Neptunia Re;Birth2 Sisters Generation
PCSE00509,Tokyo Twilight Ghost Hunters
PCSE00513,Rollers of the Realm
PCSE00514,Nidhogg
PCSE00516,Criminal Girls: Invite Only
PCSE00518,Damascus Gear: Operation Tokyo
PCSE00519,Woah Dave!
PCSE00521,Tetris Ultimate
PCSE00525,The Bridge
PCSE00526,Reel Fishing: Master’s Challenge
PCSE00527,htoL#NiQ The Firefly Diary
PCSE00528,Frozen Synapse Prime
PCSE00529,MotoGP 14
PCSE00530,MXGP - The Official Motocross Videogame
PCSE00533,Home - A Unique Horror Adventure
PCSE00534,LEGO Ninjago: Shadow of Ronin
PCSE00536,FANTASY HERO ～unsigned legacy～
PCSE00537,Jetpack Joyride Deluxe (Full Game)
PCSE00540,AQUA KITTY - Milk Mine Defender DX
PCSE00541,Rock Boshers DX: Director's Cut
PCSE00542,Desert Ashes
PCSE00546,Retro City Rampage DX
PCSE00547,Grim Fandango Remastered
PCSE00548,Ring Run Circus
PCSE00551,HTR+ Slot Car Simulation
PCSE00553,Pix the Cat
PCSE00556,The Walking Dead: Season Two - A Telltale Games Series
PCSE00558,Pocket RPG
PCSE00559,Don't Die Mr. Robot!
PCSE00561,Q*Bert Rebooted
PCSE00564,Poltergeist: A Pixelated Horror
PCSE00566,Flame Over
PCSE00567,La-Mulana EX
PCSE00568,Hyperdevotion Noire Goddess Black Heart
PCSE00573,BADLAND: Game of the Year Edition
PCSE00575,Stealth Inc 2: A Game of Clones
PCSE00576,Minutes
PCSE00577,SpongeBob HeroPants
PCSE00578,Deadman's Cross
PCSE00579,Operation Abyss: New Tokyo Legacy
PCSE00582,Adventure Time: The Secret of the Nameless Kingdom
PCSE00583,SteamWorld Heist
PCSE00584,Atelier Ayesha Plus ~The Alchemist of Dusk~
PCSE00586,Broken Sword 5 - the Serpent's Curse: Episode 2
PCSE00587,LEGO Jurassic World
PCSE00588,Hyperdimension Neptunia U: Action Unleashed
PCSE00589,Severed
PCSE00591,Sketchcross
PCSE00594,Jungle Rumble: Freedom Happiness and Bananas
PCSE00595,J-STARS Victory VS+
PCSE00597,Titan Souls
PCSE00598,AQUA KITTY DX Soundtrack
PCSE00604,Boss!
PCSE00606,Skullgirls 2nd Encore
PCSE00608,Resident Evil: Revelations 2
PCSE00610,Element4l
PCSE00611,SnagFilms: Watch Free Movies & TV Shows
PCSE00612,Color Guardians
PCSE00620,Nihilumbra
PCSE00621,Vertical Drop Heroes HD (3.61+!) [3.61]
PCSE00623,Octodad: Dadliest Catch
PCSE00627,XBlaze Lost: Memories
PCSE00628,AeternoBlade
PCSE00630,Retro City Rampage DX
PCSE00631,The Sun and Moon
PCSE00633,Whispering Willows
PCSE00634,2013: Infected Wars
PCSE00637,Invokers Tournament
PCSE00638,One Piece: Pirate Warriors 3
PCSE00639,Dengeki Bunko: Fighting Climax
PCSE00640,Shovel Knight
PCSE00641,Breach & Clear
PCSE00642,Scram Kitty DX
PCSE00643,Cosmophony
PCSE00644,Steins;Gate
PCSE00647,Amnesia: Memories
PCSE00651,Axiom Verge
PCSE00653,Hatoful Boyfriend
PCSE00654,MLB.TV PREMIUM
PCSE00655,Geometry Wars 3: Dimensions Evolved
PCSE00656,XCOM: Enemy Unknown Plus
PCSE00657,Broken Age
PCSE00658,Day of the Tentacle Remastered
PCSE00661,Hyperdimension Neptunia Re;Birth3 V Generation
PCSE00663,Bloxiq
PCSE00665,Metal Slug 3
PCSE00666,Heroes of Loot
PCSE00667,WRC 5 FIA World Rally Championship
PCSE00669,Spider: Rite of the Shrouded Moon (3.61+!) [3.61]
PCSE00670,LEGO Marvel's Avengers
PCSE00671,TorqueL
PCSE00672,Sid Meier's Civilization Revolution 2 Plus
PCSE00673,Lost Dimension
PCSE00674,Rugby World Cup 2015
PCSE00676,Squares
PCSE00677,BlazBlue: Chrono Phantasma EXTEND
PCSE00678,NekoBuro - Cats Block
PCSE00680,Sparkle Unleashed
PCSE00681,Handball 16
PCSE00682,Pocket God vs Desert Ashes
PCSE00683,Sayonara UmiharaKawase +
PCSE00684,The Swindle
PCSE00686,Nova-111
PCSE00687,Medieval Defenders
PCSE00688,Strike Solitaire
PCSE00689,Croixleur Sigma
PCSE00692,Danganronpa Another Episode: Ultra Despair Girls
PCSE00693,Dungeon Travelers 2: The Royal Library & The Monster Seal
PCSE00694,Xeodrifter
PCSE00695,Actual Sunlight
PCSE00698,Super Time Force Ultra
PCSE00700,Assassin's Creed Chronicles
PCSE00702,Pumped BMX +
PCSE00705,Shütshimi
PCSE00706,Back to Bed
PCSE00707,Ar nosurge Plus: Ode to an Unborn Star
PCSE00708,Corpse Party: Blood Drive
PCSE00709,SPACE HULK
PCSE00710,Earth Defense Force 2: Invaders from Planet Space
PCSE00712,Velocibox
PCSE00714,SAMURAI WARRIORS: Chronicles 3
PCSE00716,Curses 'N Chaos
PCSE00717,Superbeat Xonic
PCSE00724,Saturday Morning RPG
PCSE00726,A Boy and His Blob
PCSE00732,Rally Copters
PCSE00734,Super Exploding Zoo!
PCSE00735,THE BIT.TRIP
PCSE00736,Maliya
PCSE00737,SAMURAI WARRIORS 4-II
PCSE00738,Organ Trail Complete Edition
PCSE00740,Sword Art Online Lost Song
PCSE00741,Fat City
PCSE00743,Deception IV: The Nightmare Princess
PCSE00747,TowerFall Ascension
PCSE00748,Strike Solitaire 2
PCSE00749,Mahjong Carnival
PCSE00750,Royal Defense
PCSE00751,Pirate Solitaire
PCSE00752,Knight Solitaire
PCSE00753,Royal Defense Invisible Threat
PCSE00755,Digimon Story Cyber Sleuth
PCSE00756,VA-11 HALL-A (3.61+!) [3.65]
PCSE00760,Volume
PCSE00761,Rocketbirds 2: Evolution
PCSE00762,Norn9: Var Commons
PCSE00763,Code: Realize ~Guardian of Rebirth~
PCSE00764,Persona 4 Dancing All Night
PCSE00765,Gem Legends
PCSE00766,Level 22
PCSE00768,Farming Simulator 16
PCSE00769,Super Meat Boy
PCSE00771,Taco Master
PCSE00773,Siralim
PCSE00774,Three Fourths Home: Extended Edition
PCSE00775,The Quiet Collection
PCSE00776,Hatoful Boyfriend: Holiday Star
PCSE00780,Attractio
PCSE00781,Zero Escape: Zero Time Dilemma
PCSE00783,Bombing Busters
PCSE00784,Super Blackout
PCSE00786,The Legend of Heroes: Trails of Cold Steel
PCSE00787,Senran Kagura: Estival Versus
PCSE00788,Twitch
PCSE00789,God Eater 2: Rage Burst
PCSE00790,Bastion
PCSE00791,LEGO Star Wars: The Force Awakens
PCSE00792,DARIUSBURST Chronicle Saviours
PCSE00793,WE ARE DOOMED
PCSE00795,DramaFever
PCSE00797,Forma.8 (3.61+!) [3.63]
PCSE00800,DYNASTY WARRIORS 8 Empires
PCSE00801,God Eater Resurrection
PCSE00802,SUPER STAR WARS
PCSE00803,DYNASTY WARRIORS 8 Empires (Free Alliances Version)
PCSE00805,Super Blast Deluxe
PCSE00806,Crypt of the Necrodancer
PCSE00807,Red Game Without a Great Name
PCSE00808,One Piece: Burning Blood
PCSE00812,Attack on Titan: Wings of Freedom
PCSE00813,Trillion: God of Destruction
PCSE00814,Teslagrad
PCSE00815,Claire: Extended Cut
PCSE00817,Ninja Senki DX
PCSE00818,Stranger of Sword City
PCSE00820,Dino Dini's Kick Off Revival (3.61+!)
PCSE00821,Paranautical Activity
PCSE00822,Uncanny Valley (3.61+!) [3.61]
PCSE00825,Letter Quest Remastered
PCSE00826,Atelier Escha & Logy Plus ~Alchemists of the Dusk Sky~
PCSE00827,SAMURAI WARRIORS 4 Empires
PCSE00828,Nuclear Throne
PCSE00830,Mystery Chronicle: One Way Heroics
PCSE00832,MegaTagmension Blanc + Neptune VS Zombies
PCSE00834,Baseball Riot
PCSE00835,Neon Chrome (3.61+!) [3.61]
PCSE00836,Tachyon Project
PCSE00837,Type:Rider
PCSE00838,MOP: Operation Cleanup
PCSE00839,Funk of Titans
PCSE00840,Unepic
PCSE00841,Dreii
PCSE00843,Ray Gigant
PCSE00844,Aegis of Earth: Protonovus Assault
PCSE00845,Shiren the Wanderer
PCSE00846,Hitman GO: Definitive Edition
PCSE00847,Neverending Nightmares
PCSE00848,THE LAST BLADE 2
PCSE00849,Knock-Knock
PCSE00850,Risk of Rain
PCSE00853,Xeodrifter
PCSE00854,Corridor Z
PCSE00856,Last Wings
PCSE00857,Lumo
PCSE00860,SwapQuest
PCSE00861,Azkend 2: The World Beneath
PCSE00862,Skylight Freerange 2: Gachduine
PCSE00864,Blue-Collar Astronaut (3.61+!) [3.63]
PCSE00865,Sky Force Anniversary
PCSE00867,Hatsune Miku: Project DIVA X
PCSE00869,Bridge Constructor (3.61+!) [3.61]
PCSE00870,Spheroids (3.61+!) [3.63]
PCSE00871,A.W. : Phoenix Festa
PCSE00872,Murasaki Mist: Akara's Journey
PCSE00873,Downwell
PCSE00874,Pixel Hunter
PCSE00875,Green Game: TimeSwapper
PCSE00876,iO (3.61+!) [3.63]
PCSE00879,Grand Kingdom
PCSE00880,World of Final Fantasy
PCSE00881,Gal*Gun: Double Peace
PCSE00883,Exist Archive: The Other Side of the Sky
PCSE00887,Alone With You
PCSE00889,Delta Strike: First Assault
PCSE00890,10 Second Ninja X
PCSE00892,Atelier Sophie ~The Alchemist of the Mysterious Book~
PCSE00893,Tokyo Xanadu (3.61+!) [3.63]
PCSE00894,Zombies: The Last Survivor
PCSE00896,The Legend of Heroes: Trails of Cold Steel II
PCSE00897,Xenoraid (3.61+!) [3.61]
PCSE00898,Superdimension Neptune VS Sega Hard Girls
PCSE00899,Odin Sphere: Leifdrasir
PCSE00901,Dex (3.61+!) [3.63]
PCSE00902,LASER DISCO DEFENDERS
PCSE00903,Sword Art Online: Hollow Realization (3.61+!) [3.61]
PCSE00904,Psycho-Pass: Mandatory Happiness
PCSE00905,Adventures of Mana
PCSE00906,MUTANT MUDDS: SUPER CHALLENGE
PCSE00908,Rainbow Moon
PCSE00909,Yomawari: Night Alone
PCSE00911,Space Overlords (3.61+!)
PCSE00912,Dragon Quest Builders
PCSE00913,Volgarr the Viking (3.61+!) [3.61]
PCSE00914,99Vidas (3.61+!) [3.65]
PCSE00915,Mobile Suit Gundam: Extreme VS-Force
PCSE00916,Criminal Girls 2: Party Favors
PCSE00917,Octodad The Deadliest Catch
PCSE00918,MeiQ: Labyrinth of Death
PCSE00919,Darkest Dungeon (3.61+!) [3.61]
PCSE00923,Shu (3.61+!)
PCSE00924,Tokyo Twilight Ghost Hunters: Daybreak Special Gigs
PCSE00927,Akiba's Beat (3.61+!) [3.63]
PCSE00928,Fate/EXTELLA: The Umbral Star (3.61+!) [3.61]
PCSE00929,Stranded: A Mars Adventure (3.61+!) [3.61]
PCSE00930,Bard's Gold
PCSE00933,Spy Chameleon
PCSE00938,Wanderjahr
PCSE00940,Toukiden 2 (3.61+!) [3.63]
PCSE00941,Exile's End
PCSE00942,Supermagical (3.61+!) [3.63]
PCSE00944,Dungeon Punks
PCSE00946,Castle Invasion: Throne Out (3.61+!)
PCSE00948,VALKYRIE DRIVE -BHIKKHUNI-
PCSE00949,Steins;Gate 0 (3.61+!) [3.61]
PCSE00950,Shantae: Half-Genie Hero (3.61+!) [3.63]
PCSE00951,Summon Night 6:Lost Borders (3.61+!) [3.65]
PCSE00955,Fallen Legion: Flames of Rebellion (3.61+!) [3.63]
PCSE00956,Mercenary Kings Reloaded (3.61+!) [3.67]
PCSE00958,GAROU: MARK OF THE WOLVES (3.61+!) [3.61]
PCSE00959,Utawarerumono: Mask of Deception (3.61+!) [3.63]
PCSE00961,Pox Nora (3.61+!) [3.65]
PCSE00963,Root Letter (3.61+!) [3.61]
PCSE00964,Talisman: Digital Edition (3.61+!) [3.63]
PCSE00965,KILLALLZOMBIES (3.61+!) [3.63]
PCSE00966,Iron Sea Defenders (3.61+!) [3.61]
PCSE00968,Asdivine Hearts (3.61+!) [3.63]
PCSE00971,DEADBOLT (3.61+!) [3.65]
PCSE00972,2064: Read Only Memories (3.61+!) [3.65]
PCSE00973,Hakuoki: Kyoto Winds (3.61+!) [3.63]
PCSE00974,Slain: Back from Hell (3.61+!) [3.61]
PCSE00980,Air Race Speed (3.61+!) [3.61]
PCSE00981,Geki Yaba Runner (3.61+!) [3.63]
PCSE00982,My Name is Mayo (3.61+!) [3.61]
PCSE00984,DYING: Reborn (3.61+!) [3.63]
PCSE00985,Lara Croft GO (3.61+!) [3.63]
PCSE00989,Yomawari: Night Alone / htoLNiQ: The Firefly Diary
PCSE00990,Touhou Genso Wanderer (3.61+!) [3.63]
PCSE00992,The Bard's Tale: Remastered and Resnarkled (3.61+!) [3.65]
PCSE00993,The Longest Five Minutes (3.61+!) [3.63]
PCSE00995,DYNASTY WARRIORS: Godseekers (3.61+!) [3.61]
PCSE00996,Hue (3.61+!) [3.63]
PCSE00998,Atelier Shallie Plus: Alchemists of the Dusk Sea (3.61+!) [3.63]
PCSE00999,Cladun Returns: This Is Sengoku! (3.61+!) [3.61]
PCSE01000,Full Throttle Remastered (3.61+!) [3.63]
PCSE01001,Hakuoki - Edo Blossoms (3.61+!) [3.67]
